I am unable to connect to the email server. It appears to be down.Unable to connect to email,IBMITHelpdesk
My computer is not detecting the headphone device. It could be an issue with the USB port.My computer is not detecting the headphone device,IBMINFRAHelpdesk
I can't remember my password and need to log in. Can someone reset my password asap? I am blocked on several urgent items until I can log in again.Reset my password,IBMITHelpdesk
Currently running 10GR1 and need to upgrade to 10GR2.Need Oracle 10GR2 installed,IBMINFRAHelpdesk
I'm replacing my old phone with a Blackberry and require assistance to get it set up. I'd like to get the files and contacts transferred to the new phone and need help getting the two factor authentication app set up on it.Need new Blackberry set up,IBMINFRAHelpdesk
I tried sending a fax to a customer through the eFax online portal and also via email. My customer did not receive the fax in both instances. I don't know if this is an issue on our side with transmission or on my customer's side.Customer didn't receive eFax,IBMITHelpdesk
"Noticing today that any time I send an email with an attachment, it takes at least 20 seconds to send. This happens regardless of the attachment size.EMAIL is slow when an attachment is involved",IBMITHelpdesk
Logged in and didn't see my home directory. Logged out and back in again and it's still not appearing. I'm completely blocked until this is resolved.Missing my home directory,IBMITHelpdesk
"We have a new hire starting on Monday. She will need to be set up with a desk, laptop, phone, email account, and systems access.New employee hire",IBMOperationHelpdesk
The landing page for our internal wiki isn't loading. I've refreshed it multiple times and it keeps timing out.Issue with a web page on wiki,IBMITHelpdesk
Hard drive has been making a loud grinding noise for the last two days.Seem to have an issue with my hard drive...,IBMINFRAHelpdesk
Hard drive is still making grinding and clicking noises and now I can't delete a file. I've tried to delete it 3 times.My disk is still having issues. Can't delete a file,IBMINFRAHelpdesk
"Can't connect to wifi. Keep getting ""unable to join network"" message.Lost connection to the wireless network",IBMITHelpdesk
Multiple employees have reported that they are unable to send/receive email.EMAIL Server Down Again,IBMITHelpdesk
2tb file server has less than 400gb free.File Server is 80% full - Needs upgrade,IBMINFRAHelpdesk
Last automated backup occurred two nights ago. Did we change automated backup schedule?Does not look like a backup occurred last night,PRODUCTDevelopment
Forgot password and unable to log in. Can you reset or resend my password?Reset my password,IBMITHelpdesk
Experiencing connection issues. Unable to create connection to data source.Issue with networking,IBMITHelpdesk
Unable to edit any PDFs in Acrobat. All my PDFs are read only now. How do I unlock them?my PDF docs are all locked from editing,IBMITHelpdesk
"When I try to print VISIO, my whole computer just freezes and stops working.Hangs when trying to print VISIO document",IBMITHelpdesk
Where do I find toner for the HP 950C I have?Printer in my office is out of toner,IBMINFRAHelpdesk
"User can't access email on mail.company.com.		Can't read email",IBMITHelpdesk
User forgot their email password.Forgot email password,IBMITHelpdesk
Having an issue with users trying to access the company portal appCannot sign into the company portal app,IBMITHelpdesk
"While launching the defect tracking base URL, it is redirecting to an error page.Defect tracking tool is down.",PRODUCTDevelopment
Watcher daemon detected that the CPU was 100% busy for more than 10 minutesCPU load high for over 10 minutes,PRODUCTDevelopment
There was a software update two days ago and now my VPN doesn't work. Nothing loads when I click on the VPN client icon on my desktop.I can't launch my VPN client since the last software update,IBMITHelpdesk
Seeing puddles of water on the floor of the server room. We've put buckets out to collect the water until this is fixed.Rain is leaking on main DNS Server,IBMOperationHelpdesk
I need to organize my inbox in my email program. However I can't create a sub-folder. I didn't seen an option to create a new folder when right clicking.How do I create a sub-folder,IBMITHelpdesk
Were the permissions on the sales forecast spreadsheet changed recently? They were editable last week but are read only today. Can someone update the permissions to make the spreadsheet editable again? We need to update the spreadsheet ASAP.Sales forecast spreadsheet is READ ONLY,PRODUCTDevelopment
I downloaded and installed 64-bit Windows 7 virtual machine and I can't get it to launch. I'm not sure if I need 64-bit or 32-bit.Can't launch 64-bit Windows 7 virtual machine,IBMITHelpdesk
"I lost my work-issued iPhone 7 while traveling last week and need a replacement device. I've erased the phone remotely and have called my carrier to shut off service to it.I need a replacement iPhone, please",IBMINFRAHelpdesk
I have a project involving video editing to complete. I've installed the editing software and the memory in my laptop is insufficient to run it effectively.Need to add more memory to laptop,IBMITHelpdesk
The hotfix was installed on my PC and now some of my applications have stopped working. Can I roll back to the previous version?Please remove the latest hotfix from my PC,IBMITHelpdesk
